LLM Grammar Audit — gemma2:9b
Total: 3640 | Errors: 384 | API errors: 1
aufessen | ich: 'esse auf' → 'ich esse auf' | Separable verbs: prefix splits off in conjugated forms and moves to the END.
aufessen | du: 'isst auf' → 'du isst auf' | Separable verbs: prefix splits off in conjugated forms and moves to the END.
aufessen | er/sie/es: 'isst auf' → 'er/sie/es isst auf' | Separable verbs: prefix splits off in conjugated forms and moves to the END.
aufessen | wir: 'essen auf' → 'wir essen auf' | Separable verbs: prefix splits off in conjugated forms and moves to the END.
aufessen | ihr: 'esst auf' → 'ihr esst auf' | Separable verbs: prefix splits off in conjugated forms and moves to the END.
aufessen | Sie: 'essen auf' → 'Sie essen auf' | Separable verbs: prefix splits off in conjugated forms and moves to the END.
aufheben | du: 'hebt auf' → 'hebst auf' | The separable prefix 'auf' should be attached to the end of the verb stem in the du form.
aufheben | er/sie/es: 'hebt auf' → 'hebt auf' | The separable prefix 'auf' should be attached to the end of the verb stem in the er/sie/es form.
ausruhen | ich: 'ruhe aus' → 'ruhe aus' | Inseparable prefixes never split off.
ausruhen | du: 'ruhst aus' → 'ruhst aus' | Correct conjugation
ausruhen | er/sie/es: 'ruht aus' → 'ruht aus' | Correct conjugation
ausruhen | wir: 'ruhen aus' → 'ruhen aus' | Correct conjugation
ausruhen | ihr: 'ruht aus' → 'ruht aus' | Correct conjugation
ausruhen | Sie: 'ruhen aus' → 'ruhen aus' | Correct conjugation
ausruhen | perfekt_ich: 'ausgeruht' → 'ausgeruht' | Correct conjugation
beachten | perfekt_ich: 'beachtet' → 'beachtet' | Partizip II of beachten is beachtet, not beachtet.
bedanken | perfekt_ich: 'mich bedankt' → 'sich bedankt' | The reflexive pronoun 'sich' is used in the perfect tense of 'bedanken'.
beeinflussen | ich: 'beeinflusse' → 'beeinflusst' | Present tense conjugation error: -e ending for ich is incorrect.
befolgen | perfekt_ich: 'befolgt' → 'befolgt' | Partizip II of 'befolgen' is 'befolgt', not 'befolgt'
beraten | perfekt_ich: 'beraten' → 'beratent' | Partizip II of -ieren verbs is stem + -t
bereiten | perfekt_ich: 'bereitet' → 'bereitgemacht' | Partizip II of separable verbs has ge- between prefix and stem
empfinden | perfekt_ich: 'engempft' → 'empfunden' | Incorrect Partizip II for 'empfinden'
enthalten | du: 'enthältst' → 'enthaltst' | Incorrect spelling of 'halt'
enthalten | ich: 'enthalte' → 'enthält' | Present tense conjugation is incorrect
entlaufen | ihr: 'entrennt' → 'entlaufen' | Inseparable prefixes never split. It should be entlaufen.
entlaufen | perfekt_ich: 'entlaufen' → 'entlaufen' | Partizip II for inseparable prefix verbs is stem + -en
erhalten | perfekt_ich: 'erhalten' → 'gehalten' | Partizip II of 'erhalten' is 'gehalten'
ermöglichen | perfekt_ich: 'ermöglicht' → 'ermöglicht' | Partizip II of 'ermöglichen' is ermöglicht, not ermöglicht.
funktionieren | perfekt_ich: 'funktioniert' → 'hat funktioniert' | Partizip II is incorrect for separable verbs
stattfinden | ich: 'finde statt' → 'findet statt' | Subject-verb agreement error. 'Ich' should agree with the verb 'finden'.
vergeben | perfekt_ich: 'vergeben' → 'vergeben' | The Partizip II of 'vergeben' is 'vergeben', not 'vergab'.
abklingen | ich: 'klingst ab' → 'klingt ab' | Strong verb, vowel change in du/er
aufteilen | ich: 'teile auf' → 'teile auf' | The prefix should split off in the conjugated form.
aufteilen | du: 'teilst auf' → 'teilst auf' | The prefix should split off in the conjugated form.
aufteilen | er/sie/es: 'teilt auf' → 'teilt auf' | The prefix should split off in the conjugated form.
aufteilen | wir: 'teilen auf' → 'teilen auf' | The prefix should split off in the conjugated form.
aufteilen | ihr: 'teilt auf' → 'teilt auf' | The prefix should split off in the conjugated form.
aufteilen | Sie: 'teilen auf' → 'teilen auf' | The prefix should split off in the conjugated form.
ausrechnen | ich: 'rechnen aus' → 'rechne aus' | Separable verbs: prefix splits off in conjugated forms.
ausrechnen | du: 'rechnest aus' → 'rechnest aus' |
ausrechnen | er/sie/es: 'rechnet aus' → 'rechnet aus' |
ausrechnen | wir: 'rechnen aus' → 'rechnen aus' |
ausrechnen | ihr: 'rechnet aus' → 'rechnet aus' |
ausrechnen | Sie: 'rechnen aus' → 'rechnen aus' |
ausrechnen | perfekt_ich: 'ausgerechnet' → 'ausgerechnet' |
ausrichten | perfekt_ich: 'ausrichtende' → 'ausgerichtet' | Partizip II of separable verbs: ge- between prefix and stem
bearbeiten | perfekt_ich: 'bearbeitet' → 'bearbeitet' | Partizip II for separable verbs is 'ge-' + prefix + stem
berichtigen | ihr: 'berichtet' → 'berichtigen' | ihr uses the same conjugation as Sie
beteiligen | perfekt_ich: 'be tertarik' → 'beteiligt' | Incorrect Partizip II for 'beteiligen'
beurteilen | perfekt_ich: 'beurteilt' → 'beurteilt' | Partizip II of separable verbs has 'ge-' between prefix and stem
eingeben | ich: 'gebe ein' → 'gibst ein' | Incorrect conjugation for 'du' form of the verb.
eingeben | du: 'gibst ein' → 'gibst ein' |
eingeben | er/sie/es: 'gibt ein' → 'gibt ein' |
eingeben | wir: 'geben ein' → 'geben ein' |
eingeben | ihr: 'gebt ein' → 'gebt ein' |
eingeben | Sie: 'geben ein' → 'geben ein' |
eingeben | perfekt_ich: 'eingegeben' → 'einggegeben' | Incorrect spelling of the past participle.
einplanen | ich: 'plane ein' → 'einplanen' | Separable verbs: prefix splits off in conjugated forms.
einplanen | du: 'planst ein' → 'plant ein' | Separable verbs: prefix splits off in conjugated forms.
einplanen | er/sie/es: 'plant ein' → 'plant ein' | Separable verbs: prefix splits off in conjugated forms.
einplanen | wir: 'planen ein' → 'einplanen' | Separable verbs: prefix splits off in conjugated forms.
einplanen | ihr: 'plant ein' → 'einplant' | Separable verbs: prefix splits off in conjugated forms.
einplanen | Sie: 'planen ein' → 'einplanen' | Separable verbs: prefix splits off in conjugated forms.
einteilen | ich: 'teile ein' → 'teile ein' | Inseparable prefixes never split off.
einteilen | du: 'teilst ein' → 'teilst ein' | Inseparable prefixes never split off.
einteilen | er/sie/es: 'teilt ein' → 'teilt ein' | Inseparable prefixes never split off.
einteilen | wir: 'teilen ein' → 'teilen ein' | Inseparable prefixes never split off.
einteilen | ihr: 'teilt ein' → 'teilt ein' | Inseparable prefixes never split off.
einteilen | Sie: 'teilen ein' → 'teilen ein' | Inseparable prefixes never split off.
einteilen | perfekt_ich: 'eingeteilt' → 'einteilt' | Partizip II for inseparable prefix verbs is stem + -t
entschließen | du: 'entschließest' → 'entschließt' | Du/Er/Sie uses -t ending in present tense
fortschreiten | du: 'schreitest' → 'schrittest' | Strong verb, vowel change in du/er
freimachen | du: 'freimähest' → 'freimachst' | Separable verbs: prefix splits off in conjugated forms.
freimachen | perfekt_ich: 'gemacht' → 'aufgemacht' | Separable non-ieren: ge- between prefix and stem
freilassen | perfekt_ich: 'gefreit' → 'frei' | Partizip II of separable verbs: ge- between prefix and stem
hämmern | perfekt_ich: ' gehammers' → 'gehammers' | Partizip II for -ern verbs is stem + -t, not stem + -s
jubeln | du: 'jubelt' → 'jubelst' | Incorrect conjugation for du in the present tense.
jubeln | er/sie/es: 'jubelt' → 'jubelt' | Correct conjugation, but should be consistent with 'du'
jubeln | ihr: 'jubelt' → 'jubelt' | Correct conjugation, but should be consistent with 'du'
jubeln | perfekt_ich: 'gejubelt' → 'gejubelt' | Correct conjugation
knipsen | du: 'knissest' → 'knipst' | Incorrect conjugation for du. It should be 'knipst'.
kooperieren | perfekt_ich: 'kooperiert' → 'geko cooperated' | Partizip II for -ieren verbs is ge- + stem + -t
lauschen | perfekt_ich: 'gehört' → 'gelauscht' | Partizip II of lauschen is gelauscht, not gehört.
mitteilen | du: 'teilst mit' → 'teilst mit' | No error
riechen | perfekt_ich: 'geruht' → 'geruchten' | Incorrect Partizip II for 'riechen'
ruhen | perfekt_ich: 'gebrochen' → 'ruhen' | The past participle of 'ruhen' is 'erruht', not 'gebrochen'.
sich bedanken | perfekt_ich: 'mich bedankt' → 'hat sich bedankt' | Partizip II needs auxiliary verb 'haben' in the Perfekt tense.
sich einigen | ich: 'einige mich' → 'einigen sich' | Separable verbs split the prefix in conjugated forms.
sich einigen | du: 'einigst dich' → 'einigt euch' | The conjugation for 'ihr' is incorrect.
sich einigen | perfekt_ich: 'geeinigt' → 'eingestimmt' | The correct Partizip II for 'sich einigen' is 'eingestimmt'.
sich verspäten | ich: 'verspätete mich' → 'verspäte mich' | Incorrect conjugation of 'sich verspäten' in the present tense. It should be 'ich verspäte mich'.
überlegen | perfekt_ich: 'überlegt' → 'überlegen' | Partizip II of 'überlegen' is 'überlegt', not 'überlegen'
überprüfen | perfekt_ich: 'überprüft' → 'überprüft' | Partizip II of -ieren verbs is always the stem + -t
übertragen | perfekt_ich: 'übertragen' → 'übertragen' | Partizip II should be übertragen for separable verbs.
umgehen | ich: 'gehe um' → 'umgehe' | Incorrect conjugation for 'gehen'. It's 'umgehen' in the present tense.
unterhalten | perfekt_ich: 'unterhalten' → 'beunterhalten' | Partizip II of separable verbs: ge- between prefix and stem
verändern | perfekt_ich: 'verändert' → 'geändert' | Partizip II of separable verbs has 'ge-' prefix
verbessern | perfekt_ich: 'verbessert' → 'verbessert' | Partizip II of separable verbs is 'ge-' + prefix + stem
verdoppeln | du: 'verdoppelt' → 'verdoppeln' | Separable verbs split the prefix in conjugated forms.
verdoppeln | er/sie/es: 'verdoppelt' → 'verdoppelt' | No error
verdoppeln | ihr: 'verdoppelt' → 'verdoppeln' | Separable verbs split the prefix in conjugated forms.
verdoppeln | perfekt_ich: 'verdoppelt' → 'verdoppelt' | No error
verkürzen | ich: 'verkürze' → 'verkürze' | Missing umlaut on 'u'
verschicken | er/sie/es: 'verschiebt' → 'verschickt' | Incorrect conjugation for 3rd person singular present tense.
verzichten | perfekt_ich: 'verzichtet' → 'verzichtet' | Partizip II of verzichten is verzichtet, not verzichtet.
voranschreiten | ich: 'schreiten vor' → 'vorschritt' | Incorrect conjugation of the separable prefix verb.
voranschreiten | du: 'schreitest voran' → 'schrittest voran' | Incorrect conjugation of the separable prefix verb.
voranschreiten | er/sie/es: 'schreitet voran' → 'schritt voran' | Incorrect conjugation of the separable prefix verb.
vormerken | ich: 'vor merke' → 'vormerkt' | Incorrect conjugation in present tense. It should be 'vormerkt'.
weitergeben | ich: 'werde weitergeben' → 'gibst weiter' | Incorrect conjugation for 'weitergeben' in the present tense. It follows the pattern of strong verbs.
zumuten | ich: 'mute zu' → 'zumute' | Incorrect conjugation for 'ich'. It should be 'zumute'.
zumuten | du: 'mutest zu' → 'zumutest' | Incorrect conjugation for 'du'. The prefix splits off.
zumuten | er/sie/es: 'mutet zu' → 'zumentiert' | Incorrect conjugation for 'er/sie/es'. The prefix splits off.
ansparen | ich: 'spare an' → 'spare' | Separable verbs: prefix splits off in conjugated forms.
ansparen | du: 'sparst an' → 'sparst' | Separable verbs: prefix splits off in conjugated forms.
ansparen | er/sie/es: 'spart an' → 'spart' | Separable verbs: prefix splits off in conjugated forms.
ansparen | wir: 'sparen an' → 'sparen' | Separable verbs: prefix splits off in conjugated forms.
ansparen | ihr: 'spart an' → 'spart' | Separable verbs: prefix splits off in conjugated forms.
ansparen | Sie: 'sparen an' → 'sparen' | Separable verbs: prefix splits off in conjugated forms.
aufforsten | ich: 'forste auf' → 'ich forste auf' | Separable verbs: prefix splits off in conjugated forms and moves to the END.
aufforsten | du: 'forstest auf' → 'du forst auf' | Separable verbs: prefix splits off in conjugated forms and moves to the END.
aufforsten | er/sie/es: 'forstet auf' → 'er forstet auf' | Separable verbs: prefix splits off in conjugated forms and moves to the END.
ausdehnen | ich: 'dehne aus' → 'dehnen aus' | Separable verbs: prefix splits off in conjugated forms.
benehmen | perfekt_ich: 'benommen' → 'benommen' | Partizip II of 'benehmen' is 'benommen', not 'benommen'
einbinden | ich: 'bin einbindend' → 'binde ein' | Incorrect conjugation for 'einbinden' in the present tense. It should be 'binde ein'.
einschleifen | perfekt_ich: 'einge-' → 'eingeschleift' | Separable prefix verbs need ge- between prefix and stem in Partizip II
ergeben | perfekt_ich: 'ergeben' → 'ergeben' | Partizip II of 'ergeben' is 'ergeben', not 'ergeb'.
ermahnen | du: 'ermahnt' → 'ermahntest' | Present tense du ending should be -est, not -t
erschöpfen | perfekt_ich: 'ermüdet' → 'erschöpft' | Partizip II of erschöpfen is erschöpft, not ermüdet.
erstaunen | ich: 'erstaunte' → 'erstaue' | Incorrect conjugation for 'ich' in present tense.
erstaunen | perfekt_ich: 'erstaunt' → 'erstaunert' | Incorrect Partizip II form. It should be 'erstaunert'.
genesen | ich: 'genese' → 'genesen' | Incorrect conjugation for 'ich'. It should be 'genesen'.
geraten | du: 'geratest' → 'gerattest' | Incorrect ending for du form.
geraten | ihr: 'geratet' → 'geratet' | Correct
mucken | ich: 'mucke' → 'mucke' | The stem should be 'muck' not 'muc'
rechen | du: 'rechest' → 'rechnest' | Incorrect ending for du form of regular verb.
rechen | er/sie/es: 'recht' → 'rechnet' | Incorrect ending for er/sie/es form of regular verb.
rechen | ihr: 'recht' → 'rechnet' | Incorrect ending for ihr form of regular verb.
schweißen | du: 'schweist' → 'schweißt' | Strong verb, vowel change in du/er
schrubben | perfekt_ich: 'geputzt' → 'geschrubbt' | Partizip II of schrubben is geschrubbt, not geputzt
umsehen | ich: 'schaue um' → 'sehen um' | Present tense conjugation incorrect. Should be 'sehen'
verheiraten | perfekt_ich: 'verheiratet' → 'geheiratet' | Partizip II of separable verbs has 'ge-' prefix
versehen | perfekt_ich: 'versehen' → 'versehen' | Partizip II of separable verbs has the prefix moved to the end: versehen = versehen
verstoßen | perfekt_ich: 'verstoßen' → 'verstoßen' | Partizip II for separable verbs is 'ge-' + prefix + stem
vertragen | perfekt_ich: 'vertragen' → 'vertragen' | Partizip II of vertragen is 'vertragen', not 'vertragen'.
vortäuschen | perfekt_ich: 'vortäuschend' → 'vortäuschen' | Partizip II for separable verbs is prefix + stem + -t
wachhalten | perfekt_ich: 'gewachthält' → 'gewachthält' | Incorrect Partizip II formation for separable verbs.
zukleben | ich: 'klebe zu' → 'zukleben' | Separable verbs: prefix splits off in conjugated forms.
zukleben | du: 'klebst zu' → 'klebst zu' | None
zukleben | er/sie/es: 'klebt zu' → 'klebt zu' | None
zukleben | wir: 'kleben zu' → 'zukleben' | Separable verbs: prefix splits off in conjugated forms.
zukleben | ihr: 'klebt zu' → 'klebt zu' | None
zukleben | Sie: 'kleben zu' → 'zukleben' | Separable verbs: prefix splits off in conjugated forms.
zukleben | perfekt_ich: 'geklebt' → 'zuglebt' | Separable non-ieren: ge- between prefix and stem
zusammenklappen | ich: 'klappen zusammen' → 'klappt zusammen' | Separable verbs split the prefix in conjugated forms.
zusammenklappen | du: 'klappst zusammen' → 'klappst zusammen' |
zusammenklappen | er/sie/es: 'klappt zusammen' → 'klappt zusammen' |
zusammenklappen | wir: 'klappen zusammen' → 'klappen zusammen' |
zusammenklappen | ihr: 'klappt zusammen' → 'klappt zusammen' |
zusammenklappen | Sie: 'klappen zusammen' → 'klappen zusammen' |
zusammenklappen | perfekt_ich: 'zusammengeklappt' → 'zusammengeklappt' |
anlasten | ich: 'laste an' → 'anlasten' | Separable verbs: prefix stays with the verb in present tense.
anlasten | du: 'lastest an' → 'anlastest' | Separable verbs: prefix stays with the verb in present tense.
anlasten | er/sie/es: 'lastet an' → 'anlasten' | Separable verbs: prefix stays with the verb in present tense.
anlasten | wir: 'lasten an' → 'anlasten' | Separable verbs: prefix stays with the verb in present tense.
anlasten | ihr: 'lastet an' → 'anlasten' | Separable verbs: prefix stays with the verb in present tense.
anlasten | Sie: 'lasten an' → 'anlasten' | Separable verbs: prefix stays with the verb in present tense.
anprobieren | ich: 'probiere an' → 'anprobiere' | Separable verbs split the prefix in conjugated forms.
anprobieren | du: 'probierst an' → 'anprobierst' | Separable verbs split the prefix in conjugated forms.
anprobieren | er/sie/es: 'probiert an' → 'anprobiert' | Separable verbs split the prefix in conjugated forms.
anprobieren | wir: 'probieren an' → 'anprobieren' | Separable verbs split the prefix in conjugated forms.
anprobieren | ihr: 'probiert an' → 'anprobieren' | Separable verbs split the prefix in conjugated forms.
anprobieren | Sie: 'probieren an' → 'anprobieren' | Separable verbs split the prefix in conjugated forms.
auffrischen | er/sie/es: 'frischt auf' → 'frischt auf' | Inseparable prefix, should be 'frischt' not 'frischt auf'
betragen | perfekt_ich: 'betragen' → 'betragen' | Partizip II for 'betragen' is 'betragen', not 'betrag'.
einengen | perfekt_ich: 'eingedrangenen' → 'eingengt' | Partizip II of separable verbs: ge- between prefix and stem
eintauchen | perfekt_ich: 'eingetankt' → 'eingetaucht' | Incorrect Partizip II for eintauchen
einwirken | ich: 'wirkt ein' → 'wirkt ein' | The prefix 'ein-' is inseparable and should not be split.
einwirken | du: 'wirkt ein' → 'wirkt ein' | The prefix 'ein-' is inseparable and should not be split.
einwirken | er/sie/es: 'wirkt ein' → 'wirkt ein' | The prefix 'ein-' is inseparable and should not be split.
einwirken | wir: 'wirken ein' → 'wirken ein' | The prefix 'ein-' is inseparable and should not be split.
einwirken | ihr: 'wirkt ein' → 'wirkt ein' | The prefix 'ein-' is inseparable and should not be split.
einwirken | Sie: 'wirken ein' → 'wirken ein' | The prefix 'ein-' is inseparable and should not be split.
einwirken | perfekt_ich: 'eingewirkt' → 'eingewirkt' | Correct conjugation for the perfect participle.
erschließen | perfekt_ich: 'eröffnet' → 'eröffnet' | The Partizip II of erschließen is 'eröffnet', not 'eröffne'
rückgängig machen | ich: 'rückgängig mache' → 'rückgängig mache' | Separable verbs: prefix splits off in conjugated forms and moves to the END.
sich eignen | ich: 'eigne mich' → 'eigent sich' | Separable prefixes split in conjugated forms.
sich eignen | du: 'eignest dich' → 'eigent dich' | Separable prefixes split in conjugated forms.
sich eignen | wir: 'eigenen uns' → 'eigent sich' | Consistent conjugation for all persons.
sich gewöhnen | perfekt_ich: 'mich gewöhnt' → 'sich gewöhnt' | The reflexive pronoun 'sich' is used in the perfect participle of reflexive verbs.
sich lohnen | ich: 'lohne mich' → 'lohnt sich' | Separable verbs: prefix splits off in conjugated forms.
sich lohnen | du: 'lohnst dich' → 'lohnt sich' | Separable verbs: prefix splits off in conjugated forms.
sich lohnen | wir: 'lohnen uns' → 'lohnen sich' | Separable verbs: prefix splits off in conjugated forms.
sich lohnen | ihr: 'lohnt euch' → 'lohnen sich' | Separable verbs: prefix splits off in conjugated forms.
sich lohnen | Sie: 'lohnen sich' → 'lohnen sich' | No error
sich verlassen | perfekt_ich: 'verlassen' → 'sich verlassen' | Partizip II needs to include the reflexive pronoun 'sich'
tilgen | perfekt_ich: 'getilgt' → 'getilgt' | The Partizip II of 'tilgen' is actually 'getilgt', not 'getilgt'.
vorenthalten | du: 'enthältst vor' → 'vorderhältst' | Separable prefix, moves to the end.
vorenthalten | er/sie/es: 'enthält vor' → 'vorderhält' | Separable prefix, moves to the end.
vorenthalten | ihr: 'enthaltet vor' → 'vorderhaltet' | Separable prefix, moves to the end.
vorenthalten | Sie: 'enthalten vor' → 'vorderhalten' | Separable prefix, moves to the end.
zustehen | perfekt_ich: 'zugestanden' → 'zustehend' | Partizip II of 'zustehen' is 'zustehend', not 'zugestanden'.
abdriften | ich: 'driefe' → 'abdrifts' | Incorrect conjugation for 'abdriften' in the present tense. It should be 'abdrifts'.
abgehen | ich: 'gehe' → 'abgehe' | Incorrect conjugation for the infinitive 'abgehen'
abkommen | ich: 'komme ab' → 'komm ab' | Incorrect conjugation for 'ich'. It should be 'komm ab'.
abkommen | du: 'kommst ab' → 'kommst ab' |
abkommen | er/sie/es: 'kommt ab' → 'kommt ab' |
abkommen | wir: 'kommen ab' → 'kommen ab' |
abkommen | ihr: 'kommt ab' → 'kommt ab' |
abkommen | Sie: 'kommen ab' → 'kommen ab' |
abkommen | perfekt_ich: 'abgekommen' → 'abgekommen' |
aufbewahren | du: 'bewaehrst auf' → 'bewahrst auf' | Incorrect spelling of 'wahrst'
aufeinandertreffen | perfekt_ich: 'aufeinandertreffen' → 'aufeinandertreffen' | Partizip II should be aufeinandergetroffen
ausbreiten | du: 'braithst' → 'breitest' | Incorrect spelling of 'breitest'
beanspruchen | perfekt_ich: 'beansprucht' → 'beansprucht' | Partizip II for separable verbs is 'beansprucht'
bemessen | ich: 'bemesse' → 'bemesse' | Incorrect stem vowel
bemessen | perfekt_ich: 'gemes sen' → 'gemeßt' | Partizip II incorrect
berücksichtigen | perfekt_ich: 'berücksichtigt' → 'berücksichtigt' | Partizip II of Berücksichtigen is berücksichtigt, not berücksichtigt.
einklingen | ich: 'klingt ein' → 'einklingt' | Separable verbs split the prefix in conjugated forms.
einklingen | du: 'klingst ein' → 'klingst ein' | None
einklingen | er/sie/es: 'klingt ein' → 'klingt ein' | None
einklingen | wir: 'klingen ein' → 'einklingen' | Separable verbs split the prefix in conjugated forms.
einklingen | ihr: 'klingt ein' → 'klingt ein' | None
einklingen | Sie: 'klingen ein' → 'einklingen' | Separable verbs split the prefix in conjugated forms.
einklingen | perfekt_ich: 'eingeklungen' → 'eingeklingt' | Partizip II for separable verbs: ge- between prefix and stem
einsparen | ich: 'spare ein' → 'einsparst' | Separable verbs: prefix splits off in conjugated forms.
einsparen | du: 'sparst ein' → 'sparstein' | Separable verbs: prefix splits off in conjugated forms.
einsparen | er/sie/es: 'spart ein' → 'spart ein' | Correct conjugation
einsparen | wir: 'sparen ein' → 'einsparren' | Separable verbs: prefix splits off in conjugated forms.
einsparen | ihr: 'spart ein' → 'spartet ein' | Separable verbs: prefix splits off in conjugated forms.
einsparen | Sie: 'sparen ein' → 'einsparren' | Separable verbs: prefix splits off in conjugated forms.
einsparen | perfekt_ich: 'gespart' → 'eingespart' | Separable non-ieren: ge- between prefix and stem
ermüden | perfekt_ich: 'ermüdet' → 'ermüdet' | Partizip II of 'ermüden' is 'ermüdet', not 'ermüdet'
erschaffen | perfekt_ich: 'erschaffen' → 'erschaffen' | Partizip II should be erschaffen for separable verbs.
gleichstellen | perfekt_ich: 'geglichen' → 'gleichgestellt' | Partizip II of 'gleichstellen' is 'gleichgestellt', not 'geglichen'.
gutschreiben | ich: 'schreibe gutz' → 'gutschreibe' | Separable prefix should be at the end: gutschreiben → ich gutschreibe
mindern | ihr: 'minderung' → 'mindert' | Incorrect conjugation for 'ihr'. It should follow the same pattern as 'er/sie/es'.
neigen | perfekt_ich: 'gekippt' → 'gekippt' | neigen is a strong verb, the perfect participle is gekippt
nieten | perfekt_ich: 'genietet' → 'genagelt' | Incorrect Partizip II for 'niete' (to nail). It should be 'genagelt', not 'genietet'.
sich beschweren | ich: 'beschwere mich' → 'beschwert sich' | The reflexive verb 'sich beschweren' requires the reflexive pronoun 'sich' in all conjugations.
der Akt | article: 'der' → 'die' | Der Akt is feminine.
der April | article: 'der' → 'der' |
der April | plural: 'die April' → 'die Apríle' | Incorrect plural form
der Ausblick | article: 'der' → 'der' |
der Ausblick | plural: 'die Ausblicke' → 'die Ausblicke' |
der Beamer | article: 'der' → 'der' | The noun 'Beamer' is masculine.
der Beamer | plural: 'die Beamer' → 'die Beamer' | Correct plural form
der Biber | article: 'der' → 'die' | Der Biber is feminine.
der Cent | article: 'der' → 'der' |
der Cent | plural: 'die Cent' → 'die Cents' | Plural of 'Cent' is 'Cents'.
der Commit | article: 'der' → 'die' | Commit is a feminine noun.
der CT-Scan | article: 'der' → 'der' | CT-Scan is a masculine noun.
der CT-Scan | plural: 'die CT-Scans' → 'die CT-Scans' |
der Deckel | article: 'der' → 'die' | Der Deckel is feminine.
der Dezember | article: 'der' → 'der' | Der Dezember is masculine.
der Dezember | plural: 'die Dezember' → 'die Dezembers' | The plural of 'Dezember' is 'Dezember'.
der Dramatiker | article: 'der' → 'die' | Der Dramatiker is feminine.
der Dramatiker | plural: 'die Dramatikerinnen' → 'die Dramatiker' | The plural of Dramatiker should be Dramatiker, not Dramatikerinnen.
der Dschungel | article: 'der' → 'der' |
der Dschungel | plural: 'die Dschungel' → 'die Dschungeln' | Incorrect pluralization
der Dünger | article: 'der' → 'der' |
der Dünger | plural: 'die Dünger' → 'die Dünger' |
das Eisen | plural: 'die Eisen' → 'das Eisen' | The plural of 'Eisen' is unchanged.
der Elektriker | article: 'der' → 'die' | Der Elektriker is feminine.
der Elektriker | plural: 'die Elektrikerinnen' → 'die Elektriker' | The plural of Elektriker is Elektriker, not Elektrikerinnen.
der Epilog | article: 'der' → 'der' |
der Epilog | plural: 'die Epilogs' → 'die Epilogs' |
die Ernährung | plural: 'die Ernährungen' → 'die Ernährungs' | Incorrect plural formation for nouns ending in -ung.
der Euro | article: 'der' → 'der' |
