Wiktionary Grammar Audit
Total: 3640 | Mismatches: 1210 | Not in Wiktionary: 80
======================================================================

der April | plural: 'die April' → 'die Aprile'
der Führer | plural: 'die Führerinnen' → 'die Führer'
die Solarenergie | plural: 'kein Plural' → 'die Solarenergien'
die Geduld | plural: 'die Gedulden' → 'kein Plural'
der Gefängnis | article: 'der' → 'das'
der Sozialarbeiter | plural: 'die Sozialarbeiterinnen' → 'die Sozialarbeiter'
das Gehalt | article: 'das' → 'der'
das Gehalt | plural: 'die Gehälter' → 'die Gehalte'
der Sport | plural: 'kein Plural' → 'die Sporte'
die Geografie | plural: 'die Geographien' → 'die Geografien'
die Geologie | plural: 'die Geologien' → 'kein Plural'
die Steuer | article: 'die' → 'das'
die Steuer | plural: 'die Steuern' → 'die Steuer'
das Strafrecht | plural: 'die Strafrechte' → 'kein Plural'
die Stratosphäre | plural: 'die Stratosphären' → 'kein Plural'
der Streit | plural: 'kein Plural' → 'die Streite'
der Stress | plural: 'kein Plural' → 'die Stresse'
die Gravitation | plural: 'die Gravitationen' → 'kein Plural'
der Hagel | plural: 'die Hagel' → 'kein Plural'
das Handball | article: 'das' → 'der'
der Handel | plural: 'kein Plural' → 'die Händel'
der Teil | article: 'der' → 'das'
das Teiler | article: 'das' → 'der'
das Teiler | plural: 'die Teilerinnen' → 'die Teiler'
der Tennis | article: 'der' → 'das'
das Hinterland | plural: 'die Hinterländer' → 'kein Plural'
der Trainer | plural: 'die Trainerinnen' → 'die Trainer'
die Umwelt | plural: 'die Umwelt' → 'die Umwelten'
der Unterricht | plural: 'kein Plural' → 'die Unterrichte'
die Unzufriedenheit | plural: 'die Unzufriedenheiten' → 'kein Plural'
der Kampfsport | plural: 'die Kampfsportarten' → 'kein Plural'
die Vernunft | plural: 'die Vernunft' → 'kein Plural'
das Karma | plural: 'die Karmas' → 'kein Plural'
der Kellner | plural: 'die Kellnerinnen' → 'die Kellner'
der Klempner | plural: 'die Klempnerinnen' → 'die Klempner'
das Kohlendioxid | plural: 'kein Plural' → 'die Kohlendioxide'
der Wandel | plural: 'kein Plural' → 'die Wandel'
die Wasserkraft | plural: 'die Wasserkräfte' → 'kein Plural'
die Komplexität | plural: 'die Komplexitäten' → 'kein Plural'
die Weiterbildung | plural: 'die Weiterbildungen' → 'kein Plural'
der Weltraum | plural: 'die Welträume' → 'kein Plural'
die Windenergie | plural: 'die Windenergien' → 'kein Plural'
der Wissenschaftler | plural: 'die Wissenschaftlerinnen' → 'die Wissenschaftler'
die Kopfhörer | article: 'die' → 'der'
das Wohlbefinden | plural: 'die Wohlbefindens' → 'kein Plural'
die Kreativität | plural: 'die Kreativitäten' → 'kein Plural'
der Kuckuck | plural: 'die Kuckucks' → 'die Kuckucke'
die Zeugin | plural: 'die Zeugen' → 'die Zeuginnen'
das Zivilrecht | plural: 'die Zivilrechte' → 'kein Plural'
die Zufriedenheit | plural: 'die Zufriedenheiten' → 'kein Plural'
die Landflucht | plural: 'die Landflüchte' → 'die Landfluchten'
der Lavendel | plural: 'kein Plural' → 'die Lavendel'
der Äquator | plural: 'die Äquatore' → 'die Äquatoren'
die Ökologie | plural: 'die Ökologien' → 'kein Plural'
die Linguistik | plural: 'die Linguistiken' → 'kein Plural'
der Übersetzer | plural: 'die Übersetzerinnen' → 'die Übersetzer'
der Abbau | plural: 'die Abbauten' → 'die Abbaue'
die Ausdauer | plural: 'die Ausdauer' → 'kein Plural'
die Chancengleichheit | plural: 'die Chancengleichheiten' → 'kein Plural'
der Ernährungsberater | plural: 'die Ernährungsberaterinnen' → 'die Ernährungsberater'
das Unterbewusstsein | plural: 'die Unterbewusstseine' → 'kein Plural'
die Versammlungsfreiheit | plural: 'die Versammlungsfreiheiten' → 'kein Plural'
Der Hund | article: 'Der' → 'der'
Die Katze | article: 'Die' → 'die'
Der Vogel | article: 'Der' → 'der'
Der Fisch | article: 'Der' → 'der'
Das Pferd | article: 'Das' → 'das'
Die Kuh | article: 'Die' → 'die'
Das Schaf | article: 'Das' → 'das'
Die Maus | article: 'Die' → 'die'
Die Ratte | article: 'Die' → 'die'
Der Löwe | article: 'Der' → 'der'
Das Schwein | article: 'Das' → 'das'
Der Bär | article: 'Der' → 'der'
Das Haustier | article: 'Das' → 'das'
Der Tiger | article: 'Der' → 'der'
Der Elefant | article: 'Der' → 'der'
Der Adler | article: 'Der' → 'der'
Der Papagei | article: 'Der' → 'der'
Der Pinguin | article: 'Der' → 'der'
Der Wal | article: 'Der' → 'der'
Der Wurm | article: 'Der' → 'der'
Der Hai | article: 'Der' → 'der'
Der Delfin | article: 'Der' → 'der'
Die Schildkröte | article: 'Die' → 'die'
Die Schlange | article: 'Die' → 'die'
Der Frosch | article: 'Der' → 'der'
Der Hamster | article: 'Der' → 'der'
Das Meerschweinchen | article: 'Das' → 'das'
Der Waschbär | article: 'Der' → 'der'
Der Leopard | article: 'Der' → 'der'
Der Igel | article: 'Der' → 'der'
Der Gorilla | article: 'Der' → 'der'
Die Biene | article: 'Die' → 'die'
Das Insekt | article: 'Das' → 'das'
Der Mann | article: 'Der' → 'der'
Die Frau | article: 'Die' → 'die'
Der Cousin | article: 'Der' → 'der'
Die Cousine | article: 'Die' → 'die'
Der Vater | article: 'Der' → 'der'
Der Bruder | article: 'Der' → 'der'
Die Mutter | article: 'Die' → 'die'
Die Schwester | article: 'Die' → 'die'
Das Kind | article: 'Das' → 'das'
Der Sohn | article: 'Der' → 'der'
Die Tochter | article: 'Die' → 'die'
Der Großvater | article: 'Der' → 'der'
Der Opa | article: 'Der' → 'der'
Die Großmutter | article: 'Die' → 'die'
Die Oma | article: 'Die' → 'die'
Der Onkel | article: 'Der' → 'der'
Die Tante | article: 'Die' → 'die'
Der Freund | article: 'Der' → 'der'
Die Freundin | article: 'Die' → 'die'
Die Nachbarin | article: 'Die' → 'die'
Der Mensch | article: 'Der' → 'der'
Die Person | article: 'Die' → 'die'
Der Junge | article: 'Der' → 'der'
Das Mädchen | article: 'Das' → 'das'
Der Ehemann | article: 'Der' → 'der'
Die Ehefrau | article: 'Die' → 'die'
Der Partner | article: 'Der' → 'der'
Die Partnerin | article: 'Die' → 'die'
Der Kollege | article: 'Der' → 'der'
Der Kollege | plural: 'die Kolleginnen und Kollegen' → 'die Kollegen'
Die Kollegin | article: 'Die' → 'die'
Der Chef | article: 'Der' → 'der'
Die Chefin | article: 'Die' → 'die'
Der Mitarbeiter | article: 'Der' → 'der'
Die Mitarbeiterin | article: 'Die' → 'die'
Der Kunde | article: 'Der' → 'der'
Die Kundin | article: 'Die' → 'die'
Der Gast | article: 'Der' → 'der'
Der Besucher | article: 'Der' → 'der'
Die Besucherin | article: 'Die' → 'die'
Der Lehrer | article: 'Der' → 'der'
Die Lehrerin | article: 'Die' → 'die'
Der Schüler | article: 'Der' → 'der'
Die Schülerin | article: 'Die' → 'die'
Der Student | article: 'Der' → 'der'
Die Studentin | article: 'Die' → 'die'
Der Arzt | article: 'Der' → 'der'
Die Ärztin | article: 'Die' → 'die'
Der Patient | article: 'Der' → 'der'
Die Patientin | article: 'Die' → 'die'
Der Fahrer | article: 'Der' → 'der'
Die Fahrerin | article: 'Die' → 'die'
Der Polizist | article: 'Der' → 'der'
Die Polizistin | article: 'Die' → 'die'
Der Verkäufer | article: 'Der' → 'der'
Die Verkäuferin | article: 'Die' → 'die'
Der Koch | article: 'Der' → 'der'
Die Köchin | article: 'Die' → 'die'
Der Bäcker | article: 'Der' → 'der'
Die Bäckerin | article: 'Die' → 'die'
Der Ingenieur | article: 'Der' → 'der'
Die Ingenieurin | article: 'Die' → 'die'
Der Journalist | article: 'Der' → 'der'
Die Journalistin | article: 'Die' → 'die'
Der Pilot | article: 'Der' → 'der'
Die Pilotin | article: 'Die' → 'die'
Der Tourist | article: 'Der' → 'der'
Die Touristin | article: 'Die' → 'die'
Der Direktor | article: 'Der' → 'der'
Die Direktorin | article: 'Die' → 'die'
Der Manager | article: 'Der' → 'der'
Der Manager | plural: 'die Managerinnen und die Manager' → 'die Manager'
Die Managerin | article: 'Die' → 'die'
Der Architekt | article: 'Der' → 'der'
Die Architektin | article: 'Die' → 'die'
Der Forscher | article: 'Der' → 'der'
Der Forscher | plural: 'die Forscherinnen und Forscher' → 'die Forscher'
Die Forscherin | article: 'Die' → 'die'
Der Gärtner | article: 'Der' → 'der'
Die Gärtnerin | article: 'Die' → 'die'
Der Mechaniker | article: 'Der' → 'der'
Die Mechanikerin | article: 'Die' → 'die'
Der Programmierer | article: 'Der' → 'der'
Die Programmiererin | article: 'Die' → 'die'
Der Soldat | article: 'Der' → 'der'
Die Soldatin | article: 'Die' → 'die'
Der Richter | article: 'Der' → 'der'
Der Richter | plural: 'die Richterinnen und die Richter' → 'die Richter'
Die Richterin | article: 'Die' → 'die'
Der Anwalt | article: 'Der' → 'der'
Die Anwältin | article: 'Die' → 'die'
Der Präsident | article: 'Der' → 'der'
Die Präsidentin | article: 'Die' → 'die'
Der Minister | article: 'Der' → 'der'
Die Ministerin | article: 'Die' → 'die'
Der Bürgermeister | article: 'Der' → 'der'
Der Bürgermeister | plural: 'die Bürgermeisterinnen und Bürgermeister' → 'die Bürgermeister'
Die Bürgermeisterin | article: 'Die' → 'die'
Der Künstler | article: 'Der' → 'der'
Die Künstlerin | article: 'Die' → 'die'
Der Musiker | article: 'Der' → 'der'
Die Musikerin | article: 'Die' → 'die'
Der Kopf | article: 'Der' → 'der'
Das Haar | article: 'Das' → 'das'
Die Stirn | article: 'Die' → 'die'
Das Gesicht | article: 'Das' → 'das'
Das Auge | article: 'Das' → 'das'
Das Ohr | article: 'Das' → 'das'
Die Nase | article: 'Die' → 'die'
Der Mund | article: 'Der' → 'der'
Der Zahn | article: 'Der' → 'der'
Die Zunge | article: 'Die' → 'die'
Das Kinn | article: 'Das' → 'das'
Der Hals | article: 'Der' → 'der'
Die Schulter | article: 'Die' → 'die'
Der Arm | article: 'Der' → 'der'
Der Ellbogen | article: 'Der' → 'der'
Die Hand | article: 'Die' → 'die'
Der Finger | article: 'Der' → 'der'
Der Daumen | article: 'Der' → 'der'
Der Nagel | article: 'Der' → 'der'
Die Brust | article: 'Die' → 'die'
Der Rücken | article: 'Der' → 'der'
Der Bauch | article: 'Der' → 'der'
Die Hüfte | article: 'Die' → 'die'
Das Bein | article: 'Das' → 'das'
Das Knie | article: 'Das' → 'das'
Der Fuß | article: 'Der' → 'der'
Die Zehe | article: 'Die' → 'die'
Die Haut | article: 'Die' → 'die'
Der Muskel | article: 'Der' → 'der'
Der Knochen | article: 'Der' → 'der'
Das Gelenk | article: 'Das' → 'das'
Die Lunge | article: 'Die' → 'die'
Die Leber | article: 'Die' → 'die'
Die Leber | plural: 'die Leber' → 'die Lebern'
Der Magen | article: 'Der' → 'der'
Die Niere | article: 'Die' → 'die'
Das Blut | article: 'Das' → 'das'
Das Blut | plural: 'kein Plural' → 'die Blute'
Das Gehirn | article: 'Das' → 'das'
Die Ader | article: 'Die' → 'die'
Der Puls | article: 'Der' → 'der'
Der Atem | article: 'Der' → 'der'
Die Stimme | article: 'Die' → 'die'
Die Lippe | article: 'Die' → 'die'
Die Wange | article: 'Die' → 'die'
Die Kehle | article: 'Die' → 'die'
Der Schädel | article: 'Der' → 'der'
Die Wirbelsäule | article: 'Die' → 'die'
Die Gesundheit | article: 'Die' → 'die'
Die Krankheit | article: 'Die' → 'die'
Das Fieber | article: 'Das' → 'das'
Das Fieber | plural: 'kein Plural' → 'die Fieber'
Der Schmerz | article: 'Der' → 'der'
Die Wunde | article: 'Die' → 'die'
Die Medizin | article: 'Die' → 'die'
Die Medizin | plural: 'die Medizin' → 'die Medizinen'
Die Tablette | article: 'Die' → 'die'
Die Spritze | article: 'Die' → 'die'
Die Operation | article: 'Die' → 'die'
Die Therapie | article: 'Die' → 'die'
Die Diagnose | article: 'Die' → 'die'
Das Rezept | article: 'Das' → 'das'
Die Apotheke | article: 'Die' → 'die'
Das Krankenhaus | article: 'Das' → 'das'
Die Klinik | article: 'Die' → 'die'
Die Pflege | article: 'Die' → 'die'
Der Verband | article: 'Der' → 'der'
Die Allergie | article: 'Die' → 'die'
Der Husten | article: 'Der' → 'der'
Der Husten | plural: 'kein Plural' → 'die Husten'
Die Erkältung | article: 'Die' → 'die'
Die Grippe | article: 'Die' → 'die'
Der Unfall | article: 'Der' → 'der'
Die Verletzung | article: 'Die' → 'die'
Der Termin | article: 'Der' → 'der'
Der Arzttermin | article: 'Der' → 'der'
Die Impfung | article: 'Die' → 'die'
Die Hilfe | article: 'Die' → 'die'
Der Notfall | article: 'Der' → 'der'
Das Medikament | article: 'Das' → 'das'
Die Untersuchung | article: 'Die' → 'die'
Der Kleiderbügel | article: 'Der' → 'der'
Die Garderobe | article: 'Die' → 'die'
Das Kissen | article: 'Das' → 'das'
Das Essen | article: 'Das' → 'das'
Das Frühstück | article: 'Das' → 'das'
Das Mittagessen | article: 'Das' → 'das'
Das Abendessen | article: 'Das' → 'das'
Der Snack | article: 'Der' → 'der'
Die Feige | article: 'Die' → 'die'
Der Apfel | article: 'Der' → 'der'
Die Banane | article: 'Die' → 'die'
Das Brot | article: 'Das' → 'das'
Der Käse | article: 'Der' → 'der'
Die Suppe | article: 'Die' → 'die'
Das Ei | article: 'Das' → 'das'
Die Kartoffel | article: 'Die' → 'die'
Das Fleisch | article: 'Das' → 'das'
Der Reis | article: 'Der' → 'der'
Der Reis | plural: 'kein Plural' → 'die Reise'
Die Tomate | article: 'Die' → 'die'
Die Orange | article: 'Die' → 'die'
Der Salat | article: 'Der' → 'der'
Die Zitrone | article: 'Die' → 'die'
Die Limette | article: 'Die' → 'die'
Die Traube | article: 'Die' → 'die'
Die Erdbeere | article: 'Die' → 'die'
Die Himbeere | article: 'Die' → 'die'
Die Blaubeere | article: 'Die' → 'die'
Die Kirsche | article: 'Die' → 'die'
Die Pflaume | article: 'Die' → 'die'
Die Birne | article: 'Die' → 'die'
Die Mango | article: 'Die' → 'die'
Die Ananas | article: 'Die' → 'die'
Die Kiwi | article: 'Die' → 'der'
Die Melone | article: 'Die' → 'die'
Die Wassermelone | article: 'Die' → 'die'
Die Grapefruit | article: 'Die' → 'die'
Die Karotte | article: 'Die' → 'die'
Die Gurke | article: 'Die' → 'die'
Der Knoblauch | article: 'Der' → 'der'
Der Knoblauch | plural: 'die Knoblauch' → 'kein Plural'
Der Brokkoli | article: 'Der' → 'der'
Der Blumenkohl | article: 'Der' → 'der'
Der Blumenkohl | plural: 'kein Plural' → 'die Blumenkohle'
Der Spinat | article: 'Der' → 'der'
Der Spinat | plural: 'kein Plural' → 'die Spinate'
Der Kürbis | article: 'Der' → 'der'
Die Bohne | article: 'Die' → 'die'
Die Erbse | article: 'Die' → 'die'
Der Mais | article: 'Der' → 'der'
Der Mais | plural: 'die Mais' → 'die Maise'
Der Pilz | article: 'Der' → 'der'
Die Aubergine | article: 'Die' → 'die'
Der Lauch | article: 'Der' → 'der'
Der Kohl | article: 'Der' → 'der'
Der Kohl | plural: 'kein Plural' → 'die Kohle'
Der Spargel | article: 'Der' → 'der'
Das Brötchen | article: 'Das' → 'das'
Die Butter | plural: 'die Butter' → 'kein Plural'
Die Nudel | article: 'Die' → 'die'
Die Pasta | article: 'Die' → 'die'
Das Hähnchen | article: 'Das' → 'das'
Die Wurst | article: 'Die' → 'die'
Der Schinken | article: 'Der' → 'der'
Der Kuchen | article: 'Der' → 'der'
Das Eis | article: 'Das' → 'das'
Der Honig | article: 'Der' → 'der'
Der Honig | plural: 'kein Plural' → 'die Honige'
Der Zucker | article: 'Der' → 'der'
Das Salz | article: 'Das' → 'das'
Der Pfeffer | article: 'Der' → 'der'
Das Öl | article: 'Das' → 'das'
Der Essig | article: 'Der' → 'der'
Das Gewürz | article: 'Das' → 'das'
Der Kaffee | article: 'Der' → 'der'
Der Tee | article: 'Der' → 'der'
Das Wasser | article: 'Das' → 'das'
Die Milch | article: 'Die' → 'die'
Der Saft | article: 'Der' → 'der'
Die Limonade | article: 'Die' → 'die'
Das Bier | article: 'Das' → 'das'
Der Wein | article: 'Der' → 'der'
Der Smoothie | article: 'Der' → 'der'
Der Kakao | article: 'Der' → 'der'
Der Espresso | article: 'Der' → 'der'
Der Cappuccino | article: 'Der' → 'der'
Der Latte | article: 'Der' → 'die'
Der Latte | plural: 'die Lattes' → 'die Latten'
Der Cocktail | article: 'Der' → 'der'
Der Nachtisch | article: 'Der' → 'der'
Der Whisky | article: 'Der' → 'der'
Der Wodka | article: 'Der' → 'der'
Der Sekt | article: 'Der' → 'der'
Der Champagner | article: 'Der' → 'der'
Das Mineralwasser | article: 'Das' → 'das'
Das Haus | article: 'Das' → 'das'
Das Zimmer | article: 'Das' → 'das'
Die Küche | article: 'Die' → 'die'
Das Schlafzimmer | article: 'Das' → 'das'
Der Balkon | article: 'Der' → 'der'
Das Badezimmer | article: 'Das' → 'das'
Das Wohnzimmer | article: 'Das' → 'das'
Das Fenster | article: 'Das' → 'das'
Die Tür | article: 'Die' → 'die'
Die Wand | article: 'Die' → 'die'
Der Boden | article: 'Der' → 'der'
Das Fitnessstudio | article: 'Das' → 'das'
Die Wohnung | article: 'Die' → 'die'
Der Flur | article: 'Der' → 'der'
Der Keller | article: 'Der' → 'der'
Der Dachboden | article: 'Der' → 'der'
Die Garage | article: 'Die' → 'die'
Der Garten | article: 'Der' → 'der'
Der Eingang | article: 'Der' → 'der'
Der Ausgang | article: 'Der' → 'der'
Die Ecke | article: 'Die' → 'die'
Die Treppe | article: 'Die' → 'die'
Der Aufzug | article: 'Der' → 'der'
Der Vorhang | article: 'Der' → 'der'
Der Schlüssel | article: 'Der' → 'der'
Das Schloss | article: 'Das' → 'das'
Das Licht | article: 'Das' → 'das'
Der Schalter | article: 'Der' → 'der'
Die Steckdose | article: 'Die' → 'die'
Die Klingel | article: 'Die' → 'die'
Der Briefkasten | article: 'Der' → 'der'
Das Dach | article: 'Das' → 'das'
Die Terrasse | article: 'Die' → 'die'
Der Hof | article: 'Der' → 'der'
Die Einfahrt | article: 'Die' → 'die'
Der Zaun | article: 'Der' → 'der'
Die Heizung | article: 'Die' → 'die'
Der Heizkörper | article: 'Der' → 'der'
Die Klimaanlage | article: 'Die' → 'die'
Der Rauchmelder | article: 'Der' → 'der'
Das Waschbecken | article: 'Das' → 'das'
Die Dusche | article: 'Die' → 'die'
Die Badewanne | article: 'Die' → 'die'
Die Toilette | article: 'Die' → 'die'
Der Wasserhahn | article: 'Der' → 'der'
Der Abfluss | article: 'Der' → 'der'
Der Kühlschrank | article: 'Der' → 'der'
Der Herd | article: 'Der' → 'der'
Der Ofen | article: 'Der' → 'der'
Die Mikrowelle | article: 'Die' → 'die'
Die Spülmaschine | article: 'Die' → 'die'
Die Waschmaschine | article: 'Die' → 'die'
Der Trockner | article: 'Der' → 'der'
Der Mülleimer | article: 'Der' → 'der'
Die Mülltonne | article: 'Die' → 'die'
Der Kleiderschrank | article: 'Der' → 'der'
Das Bücherregal | article: 'Das' → 'das'
Der Nachttisch | article: 'Der' → 'der'
Der Tisch | article: 'Der' → 'der'
Das Bett | article: 'Das' → 'das'
Der Stuhl | article: 'Der' → 'der'
Das Sofa | article: 'Das' → 'das'
Der Schrank | article: 'Der' → 'der'
Die Lampe | article: 'Die' → 'die'
Der Spiegel | article: 'Der' → 'der'
Der Teppich | article: 'Der' → 'der'
Das Regal | article: 'Das' → 'das'
Die Kommode | article: 'Die' → 'die'
Die Decke | article: 'Die' → 'die'
Der Sessel | article: 'Der' → 'der'
Der Hocker | article: 'Der' → 'der'
Der Schreibtisch | article: 'Der' → 'der'
Der Couchtisch | article: 'Der' → 'der'
Die Matratze | article: 'Die' → 'die'
Das Laken | article: 'Das' → 'das'
Das Handtuch | article: 'Das' → 'das'
Die Bettdecke | article: 'Die' → 'die'
Die Uhr | article: 'Die' → 'die'
Die Armbanduhr | article: 'Die' → 'die'
Die Tasse | article: 'Die' → 'die'
Das Glas | article: 'Das' → 'das'
Der Becher | article: 'Der' → 'der'
Die Flasche | article: 'Die' → 'die'
Die Schüssel | article: 'Die' → 'die'
Der Löffel | article: 'Der' → 'der'
Die Gabel | article: 'Die' → 'die'
Das Messer | article: 'Das' → 'das'
Der Topf | article: 'Der' → 'der'
Die Pfanne | article: 'Die' → 'die'
Das Schneidebrett | article: 'Das' → 'das'
Der Toaster | article: 'Der' → 'der'
Der Wasserkocher | article: 'Der' → 'der'
Die Kaffeemaschine | article: 'Die' → 'die'
Der Mixer | article: 'Der' → 'der'
Der Besen | article: 'Der' → 'der'
Der Staubsauger | article: 'Der' → 'der'
Der Eimer | article: 'Der' → 'der'
Der Schwamm | article: 'Der' → 'der'
Die Bürste | article: 'Die' → 'die'
Die Seife | article: 'Die' → 'die'
Das Shampoo | article: 'Das' → 'das'
Die Zahnbürste | article: 'Die' → 'die'
Die Zahnpasta | article: 'Die' → 'die'
Der Kamm | article: 'Der' → 'der'
Das Papier | article: 'Das' → 'das'
Der Karton | article: 'Der' → 'der'
Die Kiste | article: 'Die' → 'die'
Die Schachtel | article: 'Die' → 'die'
Der Korb | article: 'Der' → 'der'
Die Tüte | article: 'Die' → 'die'
Der Beutel | article: 'Der' → 'der'
Das Bild | article: 'Das' → 'das'
Der Bilderrahmen | article: 'Der' → 'der'
Die Batterie | article: 'Die' → 'die'
Der Akku | article: 'Der' → 'der'
Das Kabel | article: 'Das' → 'das'
Der Stecker | article: 'Der' → 'der'
Die Kerze | article: 'Die' → 'die'
Das Feuerzeug | article: 'Das' → 'das'
Das Streichholz | article: 'Das' → 'das'
Der Notizblock | article: 'Der' → 'der'
Der Kugelschreiber | article: 'Der' → 'der'
Der Bleistift | article: 'Der' → 'der'
Der Computer | article: 'Der' → 'der'
Das Handy | article: 'Das' → 'das'
Der Bildschirm | article: 'Der' → 'der'
Der Monitor | article: 'Der' → 'der'
Die Tastatur | article: 'Die' → 'die'
Der Drucker | article: 'Der' → 'der'
Der Roboter | article: 'Der' → 'der'
Der Lautsprecher | article: 'Der' → 'der'
Der Fernseher | article: 'Der' → 'der'
Die Fernbedienung | article: 'Die' → 'die'
Das Telefon | article: 'Das' → 'das'
Der Scanner | article: 'Der' → 'der'
Der Router | article: 'Der' → 'der'
Das Netzwerk | article: 'Das' → 'das'
Das Tablet | article: 'Das' → 'das'
Der Server | article: 'Der' → 'der'
Die Cloud | article: 'Die' → 'die'
Die Software | article: 'Die' → 'die'
Die Software | plural: 'kein Plural' → 'die Softwares'
Die Hardware | article: 'Die' → 'die'
Die Hardware | plural: 'kein Plural' → 'die Hardwares'
Der Code | article: 'Der' → 'der'
Das Programm | article: 'Das' → 'das'
Die Datei | article: 'Die' → 'die'
Der Ordner | article: 'Der' → 'der'
Das Internet | article: 'Das' → 'das'
Die Webseite | article: 'Die' → 'die'
Der Browser | article: 'Der' → 'der'
Die Suchmaschine | article: 'Die' → 'die'
Das Passwort | article: 'Das' → 'das'
Der Benutzer | article: 'Der' → 'der'
Das Profil | article: 'Das' → 'das'
Der Beitrag | article: 'Der' → 'der'
Der Kommentar | article: 'Der' → 'der'
Die Verbindung | article: 'Die' → 'die'
Die Geschwindigkeit | article: 'Die' → 'die'
Die Leitung | article: 'Die' → 'die'
Der Prozessor | article: 'Der' → 'der'
Der Chip | article: 'Der' → 'der'
Der Speicher | article: 'Der' → 'der'
Die Festplatte | article: 'Die' → 'die'
Der USB-Stick | article: 'Der' → 'der'
Die Kamera | article: 'Die' → 'die'
Das Mikrofon | article: 'Das' → 'das'
Der Projektor | article: 'Der' → 'der'
Der Sensor | article: 'Der' → 'der'
Der Motor | article: 'Der' → 'der'
Der Generator | article: 'Der' → 'der'
Das System | article: 'Das' → 'das'
Die Plattform | article: 'Die' → 'die'
Die Datenbank | article: 'Die' → 'die'
Die Nachricht | article: 'Die' → 'die'
Der Anruf | article: 'Der' → 'der'
Das Video | article: 'Das' → 'das'
Die Aufnahme | article: 'Die' → 'die'
Der Algorithmus | article: 'Der' → 'der'
Die Schnittstelle | article: 'Die' → 'die'
Die Automatisierung | article: 'Die' → 'die'
Die Technik | article: 'Die' → 'die'
Die Elektronik | article: 'Die' → 'die'
Das Gerät | article: 'Das' → 'das'
Das Auto | article: 'Das' → 'das'
